from	to
FGF2	MYC
FGF2	MMP1
FGF2	MMP3
FGF2	KLF4
FGF2	PTGS2
FGF2	PECAM1
FGF2	GDNF
FGF2	IL6
FGF2	MET
FGF2	MMP9
FGF2	SOX2
FGF2	TEK
FGF2	PTX3
FGF2	FGFR4
FGFBP2	NKG7
FGFBP2	GNLY
FGFR4	KRAS
FHIT	RASSF1
FOSB	MYC
FOSB	NR4A3
FOSB	NR4A2
FOSB	NR4A1
FRAS1	ITGA8
FRAS1	NPNT
FXYD1	TAC1
GDNF	HBEGF
GDNF	SOX2
GDNF	NTRK3
GHR	SOCS3
GHR	IL6
GHR	SOCS2
GIMAP1	GIMAP6
GIMAP1	GIMAP7
GIMAP1	GIMAP8
GIMAP6	GIMAP8
GIMAP6	GIMAP7
GIMAP7	GIMAP8
GINS1	GINS2
GINS1	UBE2C
GINS1	RRM2
GINS1	ZWINT
GINS2	TOP2A
GINS2	TYMS
GNG11	PLCB4
GNG11	NMU
GNLY	GZMB
GNLY	NKG7
GNLY	KLRD1
GNLY	STX11
GNLY	LILRB2
GNLY	PRF1
GNLY	KLRF1
GPC3	SALL4
GPER1	NMU
GPR37	SSTR1
GPR37	SNCA
GPX3	SOD1
GPX3	NQO1
GPX3	GSTM3
GPX3	XDH
GPX3	IL6
GPX3	MGST1
GPX3	GSTP1
GSTM3	GSTP1
GSTM3	MGST1
GSTM3	GSTZ1
GSTP1	SOD1
GSTP1	MGMT
GSTP1	NQO1
GSTP1	RASSF1
GSTP1	MTHFR
GSTP1	MGST1
GSTP1	GSTZ1
GUCY1A2	PDE5A
GUCY1A2	NOS1
GZMB	IL7R
GZMB	KLF2
GZMB	KLRD1
GZMB	NKG7
GZMB	PRF1
HBEGF	ZBTB16
HBEGF	ST6GALNAC5
HBEGF	MMP7
HBEGF	PTGS2
HBEGF	MMP3
HBEGF	MMP9
HJURP	MELK
HJURP	PCLAF
HJURP	TPX2
HJURP	UBE2C
HJURP	RRM2
HJURP	NEK2
HJURP	TTK
HJURP	ZWINT
HJURP	KIF4A
HJURP	HMMR
HJURP	KIF20A
HJURP	TOP2A
HJURP	TK1
HJURP	NUSAP1
HMMR	LYVE1
HMMR	MELK
HMMR	PCLAF
HMMR	TPX2
HMMR	UBE2C
HMMR	RRM2
HMMR	NEK2
HMMR	TTK
HMMR	ZWINT
HMMR	KIF4A
HMMR	HYAL2
HMMR	NUSAP1
HMMR	TOP2A
HMMR	KIF20A
HSD17B6	SRD5A1
HYAL2	LYVE1
IBSP	ITGA1
IBSP	MMP3
IBSP	MMP9
IBSP	SPARC
IBSP	SPP1
IL1RL1	IL7R
IL1RL1	IL33
IL33	IL6
IL6	MIF
IL6	KRAS
IL6	MMP13
IL6	VWF
IL6	PTX3
IL6	MMP3
IL6	IL7R
IL6	MET
IL6	MMP1
IL6	SOCS3
IL6	SELE
IL6	PTGS2
IL6	MMP9
IL6	TEK
IL6	SPP1
IL6	LPL
IL6	PECAM1
IL6	MYC
IL6	MMP12
IL6	LIFR
IL7R	PRF1
ITGA1	VWF
ITGA1	THBS2
ITGA1	LAMA3
ITGA1	SPP1
ITGA1	ITGA8
ITGA8	VWF
ITGA8	LAMA3
ITGA8	THBS2
ITGA8	SPP1
ITGA8	NPNT
KCNK3	S100A10
KIF20A	MELK
KIF20A	PCLAF
KIF20A	TPX2
KIF20A	UBE2C
KIF20A	RRM2
KIF20A	NEK2
KIF20A	TTK
KIF20A	ZWINT
KIF20A	KIF4A
KIF20A	UHRF1
KIF20A	TK1
KIF20A	NUSAP1
KIF20A	TOP2A
KIF4A	MELK
KIF4A	TPX2
KIF4A	UBE2C
KIF4A	RRM2
KIF4A	NEK2
KIF4A	TTK
KIF4A	ZWINT
KIF4A	TK1
KIF4A	TOP2A
KIF4A	NUSAP1
KLF1	LDB2
KLF1	TAL1
KLF2	MYC
KLF2	SOX2
KLF2	S1PR1
KLF4	TBX3
KLF4	SOX2
KLF4	MYC
KLRD1	NKG7
KLRD1	KLRF1
KLRD1	PRF1
KLRF1	PRF1
KRAS	MLH1
KRAS	RUNX3
KRAS	PTGS2
KRAS	PAX8
KRAS	NTRK3
KRAS	ROS1
KRAS	MYC
KRAS	NOS1
KRAS	PTEN
KRAS	MET
KRAS	RASSF1
KRT6A	SPRR1A
LAMA3	MMP7
LDB2	TAL1
LILRB2	MNDA
LPL	PLPP2
LRIG3	ROS1
LRRK2	SH3GL3
LRRK2	SH3GL2
LRRK2	SFN
LRRK2	SNCA
LYVE1	VWF
LYVE1	PECAM1
MDK	PTPRB
MELK	UBE2T
MELK	TYMS
MELK	TK1
MELK	NEK2
MELK	PCLAF
MELK	ZWINT
MELK	NUSAP1
MELK	TTK
MELK	RRM2
MELK	UBE2C
MELK	TOP2A
MELK	TPX2
MET	MMP9
MET	PTEN
MET	SH3GL3
MET	S100A8
MGMT	MLH1
MGMT	XRCC1
MGMT	PTEN
MGMT	RASSF1
MIF	SOD1
