ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
227351_at	5.76e-02	2.37e-02	-2.2918086	-4.499048	-0.2840315	LOC101930115///C16orf52///VWA3A	von Willebrand factor A domain-containing protein 3A///chromosome 16 open reading frame 52///von Willebrand factor A domain containing 3A
1560512_at	5.76e-02	2.37e-02	2.2915936	-4.499521	0.344196		
201306_s_at	5.76e-02	2.37e-02	-2.2915108	-4.499703	-0.13915333	ANP32B	acidic nuclear phosphoprotein 32 family member B
211906_s_at	5.76e-02	2.37e-02	2.2913514	-4.500053	0.40948433	SERPINB4	serpin family B member 4
224523_s_at	5.76e-02	2.37e-02	2.2913119	-4.50014	0.21450733	CMSS1	cms1 ribosomal small subunit homolog (yeast)
220686_s_at	5.76e-02	2.37e-02	2.2911603	-4.500473	0.15316917	PIWIL2	piwi like RNA-mediated gene silencing 2
219579_at	5.77e-02	2.37e-02	2.2908	-4.501264	0.19881683	RAB3IL1	RAB3A interacting protein like 1
1558522_at	5.77e-02	2.37e-02	2.290703	-4.501477	0.154682	MPP6	membrane palmitoylated protein 6
236415_at	5.77e-02	2.37e-02	2.2906239	-4.501651	0.07814817	DENND5B	DENN domain containing 5B
1561010_a_at	5.77e-02	2.37e-02	2.2905953	-4.501714	0.05578983	MAOB	monoamine oxidase B
33304_at	5.77e-02	2.37e-02	-2.2905785	-4.501751	-0.25748083	ISG20	interferon stimulated exonuclease gene 20
228997_at	5.77e-02	2.37e-02	2.2904229	-4.502093	0.20895817	TRNAU1AP	tRNA selenocysteine 1 associated protein 1
239236_at	5.77e-02	2.37e-02	-2.2903593	-4.502232	-0.26205933		
219380_x_at	5.78e-02	2.38e-02	2.2901302	-4.502736	0.14774467	POLH	DNA polymerase eta
201972_at	5.78e-02	2.38e-02	2.2900505	-4.502911	0.14123217	ATP6V1A	ATPase H+ transporting V1 subunit A
214533_at	5.78e-02	2.38e-02	-2.2900305	-4.502954	-0.2373295	CMA1	chymase 1
230513_at	5.78e-02	2.38e-02	2.2899856	-4.503053	0.11293633	BAG6	BCL2 associated athanogene 6
211600_at	5.78e-02	2.38e-02	2.2897136	-4.503651	0.326065	PTPRO	protein tyrosine phosphatase, receptor type O
1556256_a_at	5.78e-02	2.38e-02	2.2897022	-4.503675	0.05068683		
