ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
220368_s_at	6.37e-01	3.93e-01	-0.8655901	-6.075498	-0.1918396	PPP4R3A	protein phosphatase 4 regulatory subunit 3A
230941_at	6.37e-01	3.93e-01	-0.865533	-6.075547	-0.2297462	LINC01125	long intergenic non-protein coding RNA 1125
1552923_a_at	6.37e-01	3.93e-01	0.8655255	-6.075553	0.0547964	PITPNM2	phosphatidylinositol transfer protein membrane associated 2
222004_s_at	6.37e-01	3.93e-01	-0.8654921	-6.075582	-0.0771527	DOCK6	dedicator of cytokinesis 6
236551_at	6.37e-01	3.93e-01	-0.8654517	-6.075616	-0.3953659	ZNF311	zinc finger protein 311
1552950_at	6.37e-01	3.93e-01	-0.8654508	-6.075617	-0.129888	CFAP161	cilia and flagella associated protein 161
242837_at	6.37e-01	3.93e-01	0.8654292	-6.075635	0.335921	SRSF4	serine and arginine rich splicing factor 4
241497_at	6.37e-01	3.93e-01	-0.8654289	-6.075635	-0.2157313		
234115_s_at	6.37e-01	3.93e-01	-0.8653699	-6.075685	-0.1003789	ZNRD1	zinc ribbon domain containing 1
235793_at	6.37e-01	3.93e-01	0.8652681	-6.075772	0.2951135	TPGS2	tubulin polyglutamylase complex subunit 2
1554506_x_at	6.37e-01	3.93e-01	0.8652442	-6.075792	0.0586783	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2
1564281_at	6.37e-01	3.93e-01	0.8652262	-6.075808	0.0959489	LINC00491	long intergenic non-protein coding RNA 491
240915_at	6.37e-01	3.93e-01	0.8652123	-6.075819	0.0732709	IGHV1-69	immunoglobulin heavy variable 1-69
217338_at	6.37e-01	3.93e-01	0.8652065	-6.075824	0.0533948	KRT19P2	keratin 19 pseudogene 2
1554759_at	6.37e-01	3.93e-01	0.8651322	-6.075887	0.1482333	SRCIN1	SRC kinase signaling inhibitor 1
225520_at	6.37e-01	3.93e-01	0.8651291	-6.07589	0.3374486	LOC101928195///LOC100996643///MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like pseudogene///monofunctional C1-tetrahydrofolate synthase, mitochondrial-like///methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
1556186_s_at	6.37e-01	3.93e-01	0.8650924	-6.075921	0.269247	EMC1	ER membrane protein complex subunit 1
204531_s_at	6.37e-01	3.93e-01	-0.8650887	-6.075924	-0.3084093	BRCA1	BRCA1, DNA repair associated
230826_at	6.37e-01	3.93e-01	-0.8650472	-6.07596	-0.5120964	MMD2	monocyte to macrophage differentiation associated 2
216268_s_at	6.37e-01	3.93e-01	0.8650296	-6.075975	0.434865	JAG1	jagged 1
1559268_at	6.37e-01	3.93e-01	-0.8650052	-6.075995	-0.0743083	ADAM23	ADAM metallopeptidase domain 23
1555587_at	6.37e-01	3.93e-01	-0.8650039	-6.075996	-0.0816879	PDZRN3	PDZ domain containing ring finger 3
1559864_at	6.37e-01	3.93e-01	0.864992	-6.076006	0.0833461	LCN6	lipocalin 6
218335_x_at	6.37e-01	3.93e-01	-0.8649546	-6.076038	-0.2571267	TNIP2	TNFAIP3 interacting protein 2
1552502_s_at	6.37e-01	3.93e-01	0.8649083	-6.076078	0.6708962	RHBDL2	rhomboid like 2
226122_at	6.37e-01	3.93e-01	0.8648324	-6.076142	0.457227	PLEKHG1	pleckstrin homology and RhoGEF domain containing G1
237894_at	6.37e-01	3.93e-01	0.8648251	-6.076148	0.0715625	C3orf22	chromosome 3 open reading frame 22
215557_at	6.37e-01	3.93e-01	0.8647189	-6.076238	0.2571929		
240333_at	6.37e-01	3.93e-01	-0.8646697	-6.07628	-0.0696765		
209418_s_at	6.37e-01	3.93e-01	0.8646447	-6.076301	0.3114885	THOC5	THO complex 5
208393_s_at	6.37e-01	3.93e-01	0.8646355	-6.076309	0.2101819	RAD50	RAD50 double strand break repair protein
221880_s_at	6.37e-01	3.93e-01	0.8646321	-6.076312	0.3027652	FAM174B	family with sequence similarity 174 member B
236774_at	6.37e-01	3.93e-01	0.8646164	-6.076325	0.080721		
34063_at	6.37e-01	3.93e-01	0.8645356	-6.076394	0.1006718	RECQL5	RecQ like helicase 5
226599_at	6.38e-01	3.93e-01	0.8644738	-6.076446	0.5703013	FHDC1	FH2 domain containing 1
