Gene,GO_Description_Text
IGHV3-38,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV5-51,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV1-58,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV4-61,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3-66,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV2-70D,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGKV3D-7,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
TRBV5-4,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
IGHJ1,[BP] adaptive immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGKV1-8,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGKV2-24,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGKV1-9,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGKV1-6,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGKV1-12,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGKV3OR2-268,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
MT-RNR1,"[BP] activation of protein kinase activity; negative regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity; ossification; osteoblast differentiation; osteoblast proliferation; positive regulation of protein serine/threonine kinase activity; purine-containing compound biosynthetic process; regulation of carbohydrate utilization; regulation of transcription by RNA polymerase II; skeletal muscle tissue growth [CC] extracellular region; extracellular space; mitochondrion; nucleus [MF] DNA binding; DNA-binding transcription factor binding"
CCDC163,[BP] None [CC] membrane [MF] None
ASIC5,[BP] monoatomic ion transmembrane transport; monoatomic ion transport; neuronal action potential; proton transmembrane transport; sodium ion import across plasma membrane; sodium ion transmembrane transport; sodium ion transport [CC] apical plasma membrane; membrane; plasma membrane [MF] bile acid-gated sodium channel activity; ligand-gated sodium channel activity; proton channel activity; sodium channel activity
